"created_at","PM1.0_CF_1_ug/m3_A","PM2.5_CF_1_ug/m3_A","PM10.0_CF_1_ug/m3_A","Uptime_Minutes_A","RSSI_dbm_A","Temperature_F_A","Humidity_%_A","PM2.5_CF_ATM_ug/m3_A","0.3um/dl_A","0.5um/dl_A","1.0um/dl_A","2.5um/dl_A","5.0um/dl_A","10.0um/dl_A","PM1.0_CF_ATM_ug/m3_A","PM10_CF_ATM_ug/m3_A","PM1.0_CF_1_ug/m3_B","PM2.5_CF_1_ug/m3_B","PM10.0_CF_1_ug/m3_B","HEAP_B","ADC0_voltage_B","Atmos_Pres_B","Not_Used_B","PM2.5_CF_ATM_ug/m3_B","0.3um/dl_B","0.5um/dl_B","1.0um/dl_B","2.5um/dl_B","5.0um/dl_B","10.0um/dl_B","PM1.0_CF_ATM_ug/m3_B","PM10_CF_ATM_ug/m3_B","ID","Name","Lat","Lon","Location","Type"
"2021-12-30 00:00:00 -0700",0,0.228,0.472,24889,-54.8,70,9,0.228,107.892,33.882,6.584,0.948,0.41,0.168,0,0.472,NA,NA,NA,18817.6,0.03,820.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103724,"Home",39.97538,-105.14994,"inside","PMS5003+PMS5003+BME280"
"2021-12-30 00:10:00 -0700",0,0.082,0.272,24899,-53.4,70,9,0.082,92.466,28.632,6.01,0.686,0.258,0,0,0.272,NA,NA,NA,18851.2,0.03,820.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103724,"Home",39.97538,-105.14994,"inside","PMS5003+PMS5003+BME280"
"2021-12-30 00:20:00 -0700",0,0.344,0.638,24909,-53.2,70,9,0.344,115.906,35.098,8.434,1.288,0.344,0.258,0,0.638,NA,NA,NA,18817.6,0.03,820.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103724,"Home",39.97538,-105.14994,"inside","PMS5003+PMS5003+BME280"
"2021-12-30 00:30:00 -0700",0,0.3,0.344,24919,-55.2,70,9,0.3,108.452,33.302,6.752,1.208,0.086,0,0,0.344,NA,NA,NA,18884.8,0.03,820.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103724,"Home",39.97538,-105.14994,"inside","PMS5003+PMS5003+BME280"
"2021-12-30 00:40:00 -0700",0,0.196,0.38,24929,-51,70,9,0.196,109.394,34.5,7.346,0.942,0.256,0.086,0,0.38,NA,NA,NA,18884.8,0.03,819.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103724,"Home",39.97538,-105.14994,"inside","PMS5003+PMS5003+BME280"
"2021-12-30 00:50:00 -0700",0,0.382,0.768,24939,-53.4,70,9,0.382,112.448,35.322,7.834,1.57,0.622,0.258,0,0.768,NA,NA,NA,18817.6,0.03,819.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103724,"Home",39.97538,-105.14994,"inside","PMS5003+PMS5003+BME280"
"2021-12-30 01:00:00 -0700",0,0.29,0.578,24949,-54,70,9,0.29,120.55,37.358,8.328,1.18,0.322,0.17,0,0.578,NA,NA,NA,18851.2,0.03,819.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103724,"Home",39.97538,-105.14994,"inside","PMS5003+PMS5003+BME280"
"2021-12-30 01:10:00 -0700",0.022,0.256,0.374,24959,-55.4,70,9,0.256,116.126,35.524,7.972,0.856,0.17,0.17,0.022,0.374,NA,NA,NA,18817.6,0.03,819.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103724,"Home",39.97538,-105.14994,"inside","PMS5003+PMS5003+BME280"
"2021-12-30 01:20:00 -0700",0,0.26,0.626,24969,-52,70,9,0.26,102.802,31.81,7.606,1.544,0.6,0.342,0,0.626,NA,NA,NA,18851.2,0.03,819.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103724,"Home",39.97538,-105.14994,"inside","PMS5003+PMS5003+BME280"
"2021-12-30 01:30:00 -0700",0,0.392,0.606,24979,-49.6,69.4,9,0.392,131.732,40.346,8.88,0.984,0.346,0.172,0,0.606,NA,NA,NA,18817.6,0.03,819.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103724,"Home",39.97538,-105.14994,"inside","PMS5003+PMS5003+BME280"
