"created_at","PM1.0_CF_1_ug/m3_A","PM2.5_CF_1_ug/m3_A","PM10.0_CF_1_ug/m3_A","Uptime_Minutes_A","RSSI_dbm_A","Temperature_F_A","Humidity_%_A","PM2.5_CF_ATM_ug/m3_A","0.3um/dl_A","0.5um/dl_A","1.0um/dl_A","2.5um/dl_A","5.0um/dl_A","10.0um/dl_A","PM1.0_CF_ATM_ug/m3_A","PM10_CF_ATM_ug/m3_A","PM1.0_CF_1_ug/m3_B","PM2.5_CF_1_ug/m3_B","PM10.0_CF_1_ug/m3_B","HEAP_B","ADC0_voltage_B","Atmos_Pres_B","Not_Used_B","PM2.5_CF_ATM_ug/m3_B","0.3um/dl_B","0.5um/dl_B","1.0um/dl_B","2.5um/dl_B","5.0um/dl_B","10.0um/dl_B","PM1.0_CF_ATM_ug/m3_B","PM10_CF_ATM_ug/m3_B","ID","Name","Lat","Lon","Location","Type"
"2022-02-17 12:20:00 -0700",0.013,0.093,0.143,6,-61,72.667,15.667,0.093,159.59,36.213,4.463,0.93,0,0,0.013,0.143,NA,NA,NA,17474.667,0,831.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 12:30:00 -0700",0,0.044,0.096,14,-62.2,75.2,13.6,0.044,90.814,25.162,3.386,0.434,0.086,0.086,0,0.096,NA,NA,NA,18377.6,0,831.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 12:40:00 -0700",0,0,0.204,24,-64.6,77.4,12.8,0,103.506,26.814,4.76,0.762,0.272,0.172,0,0.204,NA,NA,NA,18377.6,0,831.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 12:50:00 -0700",0,0.024,0.234,34,-67.4,78,12,0.024,114.562,31.624,5.302,0.516,0.276,0.158,0,0.234,NA,NA,NA,18486.4,0,831.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 13:00:00 -0700",0,0.06,0.214,44,-64.2,78,11.6,0.06,117.29,30.64,4.478,0.738,0.14,0.014,0,0.214,NA,NA,NA,18278.4,0,831.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 13:10:00 -0700",0,0.13,0.208,54,-66.2,78,11,0.13,115.198,30.254,5.146,0.432,0.086,0.086,0,0.208,NA,NA,NA,18412.8,0,831.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 13:20:00 -0700",0,0.07,0.142,64,-65,78,11,0.07,102.272,26.564,3.552,0.43,0.172,0,0,0.142,NA,NA,NA,18379.2,0,831.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 13:30:00 -0700",0,0.028,0.112,74,-65.2,78,11,0.028,92.432,24.146,3.506,0.516,0.258,0.172,0,0.112,NA,NA,NA,18379.2,0,830.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 13:40:00 -0700",0,0.05,0.054,84,-66.8,78,11,0.05,97.35,25.092,3.94,0.516,0.086,0,0,0.054,NA,NA,NA,18379.2,0,831.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 13:50:00 -0700",0,0.01,0.12,94,-66.6,78,11,0.01,102.006,27.7,3.948,0.682,0.258,0.086,0,0.12,NA,NA,NA,18412.8,0,830.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 14:00:00 -0700",0,0.06,0.146,104,-64.6,78,11,0.06,102.808,28.476,4.272,0.396,0.086,0.086,0,0.146,NA,NA,NA,18412.8,0,830.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 14:10:00 -0700",0,0.022,0.098,114,-66.2,78,11,0.022,106.242,27.454,3.794,0.29,0.172,0.172,0,0.098,NA,NA,NA,18312,0,830.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 14:20:00 -0700",0,0.092,0.124,124,-67.6,77.6,11,0.092,87.808,23.834,4.366,0.26,0.086,0,0,0.124,NA,NA,NA,18345.6,0,830.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 14:30:00 -0700",0,0.04,0.04,134,-63.4,77,11,0.04,94.244,24.59,4.428,0.168,0,0,0,0.04,NA,NA,NA,18379.2,0,830.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 14:40:00 -0700",0,0.018,0.018,144,-65.6,77,11,0.018,76.024,17.712,2.588,0.344,0,0,0,0.018,NA,NA,NA,18379.2,0,830.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 14:50:00 -0700",0,0.02,0.092,154,-65.6,77,11,0.02,85.852,22.268,3.568,0.34,0,0,0,0.092,NA,NA,NA,18345.6,0,830.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 15:00:00 -0700",0,0,0,164,-67.2,77,11,0,84.622,21.532,3.578,0.17,0,0,0,0,NA,NA,NA,18356.8,0,830.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 15:10:00 -0700",0,0.032,0.074,174,-67,77,11,0.032,95.584,23.71,3.02,0.434,0.088,0,0,0.074,NA,NA,NA,18345.6,0,829.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
"2022-02-17 15:20:00 -0700",0,0.038,0.038,184,-65,77,11,0.038,109.208,27.984,4.454,0.342,0,0,0,0.038,NA,NA,NA,18412.8,0,829.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129027,"Northern way",39.934859,-105.156202,"inside","PMS5003+PMS5003+BME280"
