"created_at","PM1.0_CF_1_ug/m3_A","PM2.5_CF_1_ug/m3_A","PM10.0_CF_1_ug/m3_A","Uptime_Minutes_A","RSSI_dbm_A","Temperature_F_A","Humidity_%_A","PM2.5_CF_ATM_ug/m3_A","0.3um/dl_A","0.5um/dl_A","1.0um/dl_A","2.5um/dl_A","5.0um/dl_A","10.0um/dl_A","PM1.0_CF_ATM_ug/m3_A","PM10_CF_ATM_ug/m3_A","PM1.0_CF_1_ug/m3_B","PM2.5_CF_1_ug/m3_B","PM10.0_CF_1_ug/m3_B","HEAP_B","ADC0_voltage_B","Atmos_Pres_B","Not_Used_B","PM2.5_CF_ATM_ug/m3_B","0.3um/dl_B","0.5um/dl_B","1.0um/dl_B","2.5um/dl_B","5.0um/dl_B","10.0um/dl_B","PM1.0_CF_ATM_ug/m3_B","PM10_CF_ATM_ug/m3_B","ID","Name","Lat","Lon","Location","Type"
"2022-01-15 16:10:00 -0700",0,0,0,12,-54,73,21,0,0,0,0,0,0,0,0,0,0,0,0,16200,0,828.13,NA,0,0,0,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 16:20:00 -0700",0,0,0,18,-56,73.4,20.2,0,0.018,0.018,0,0,0,0,0,0,0,0,0,17628.8,0,828.016,NA,0,0,0,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 16:30:00 -0700",0,0,0,28,-57.2,74.2,19.6,0,0,0,0,0,0,0,0,0,0,0,0,17995.2,0,828.004,NA,0,0.07,0.052,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 16:40:00 -0700",0,0,0,38,-57.6,75,19,0,0.014,0,0,0,0,0,0,0,0,0,0,18062.4,0,827.934,NA,0,0.068,0.068,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 16:50:00 -0700",0,0,0,48,-60,75,19,0,0,0,0,0,0,0,0,0,0,0,0,17961.6,0,827.922,NA,0,0.016,0,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 17:00:00 -0700",0,0,0,58,-59,75.2,18.8,0,0.018,0,0,0,0,0,0,0,0,0,0,17860.8,0,827.928,NA,0,0.04,0,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 17:10:00 -0700",0,0,0,68,-59,76,18,0,0.072,0.072,0,0,0,0,0,0,0,0,0,17827.2,0,827.918,NA,0,0,0,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 17:20:00 -0700",0,0,0,78,-58,76,18,0,0.054,0.018,0,0,0,0,0,0,0,0,0,17860.8,0,827.958,NA,0,0.174,0.104,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 17:30:00 -0700",0,0,0,88,-60,75.2,18,0,0.118,0.018,0,0,0,0,0,0,0,0,0,17894.4,0,827.926,NA,0,0,0,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 17:40:00 -0700",0,0,0,98,-57.8,75.4,18,0,0,0,0,0,0,0,0,0,0,0,0,17860.8,0,827.93,NA,0,0.018,0.018,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 17:50:00 -0700",0,0,0,108,-60.4,76,18,0,0,0,0,0,0,0,0,0,0,0,0,17860.8,0,828.13,NA,0,0,0,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 18:00:00 -0700",0,0,0,118,-58.2,76,18,0,0.034,0.018,0,0,0,0,0,0,0,0,0,17860.8,0,828.212,NA,0,0,0,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 18:10:00 -0700",0,0,0,128,-58.2,76,18,0,0,0,0,0,0,0,0,0,0,0,0,17827.2,0,828.348,NA,0,0,0,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
"2022-01-15 18:20:00 -0700",0,0,0,138,-60,76,18,0,0,0,0,0,0,0,0,0,0,0,0,17860.8,0,828.326,NA,0,0.05,0.016,0,0,0,0,0,0,129321,"Castle Park - Indoor",39.91679,-105.158601,"inside","PMS5003+PMS5003+BME280"
